Código área de residencia;Nombre área de residencia;Código área de destino;Nombre área de destino;Flujo origen-destino (nº de personas)
43TF;San Cristóbal de La Laguna (distrito 03);49TF;Santa Cruz de Tenerife (distrito 03);764
43TF;San Cristóbal de La Laguna (distrito 03);50TF;Santa Cruz de Tenerife (distrito 04);78
43TF;San Cristóbal de La Laguna (distrito 03);51TF;Santa Cruz de Tenerife (distrito 05);261
43TF;San Cristóbal de La Laguna (distrito 03);52TF;Santa Cruz de Tenerife (distrito 06);265
43TF;San Cristóbal de La Laguna (distrito 03);53TF;Santa Cruz de Tenerife (distrito 09);676
43TF;San Cristóbal de La Laguna (distrito 03);54TF;Santa Cruz de Tenerife (distrito 10);227
43TF;San Cristóbal de La Laguna (distrito 03);55TF;Santa Cruz de Tenerife (distrito 11);929
43TF;San Cristóbal de La Laguna (distrito 03);56TF;Santa Cruz de Tenerife (distrito 12);671
43TF;San Cristóbal de La Laguna (distrito 03);57TF;Arona (sección 016 y otras secciones del distrito 01);38
43TF;San Cristóbal de La Laguna (distrito 03);OTRO;OTROS DESTINOS;347
43TO;Lagartera y otros municipios;14CC;Peraleda de la Mata y otros municipios;145
43TO;Lagartera y otros municipios;18AV;Candeleda;70
43TO;Lagartera y otros municipios;22CC;Villanueva de la Vera y otros municipios;72
43TO;Lagartera y otros municipios;33TO;Talavera de la Reina (distrito 02) y Pueblanueva, La;66
43TO;Lagartera y otros municipios;41CC;Talayuela y otros municipios;25
43TO;Lagartera y otros municipios;42TO;Oropesa y otros municipios;156
43TO;Lagartera y otros municipios;43TO;Lagartera y otros municipios;3.764
43TO;Lagartera y otros municipios;44TO;Belvís de la Jara y otros municipios;49
43TO;Lagartera y otros municipios;51TO;Bargas;26
43TO;Lagartera y otros municipios;OTRO;OTROS DESTINOS;411
43VA;Valladolid (SCD Parquesol - Arturo Eyries);01VA;Boecillo y Viana de Cega;63
43VA;Valladolid (SCD Parquesol - Arturo Eyries);02VA;Mojados y otros municipios;28
43VA;Valladolid (SCD Parquesol - Arturo Eyries);03PA;Dueñas y otros municipios;35
43VA;Valladolid (SCD Parquesol - Arturo Eyries);03VA;Aldeamayor de San Martín y Portillo;42
43VA;Valladolid (SCD Parquesol - Arturo Eyries);04VA;Santovenia de Pisuerga y Cabezón de Pisuerga;35
43VA;Valladolid (SCD Parquesol - Arturo Eyries);05VA;Villanubla y otros municipios;37
43VA;Valladolid (SCD Parquesol - Arturo Eyries);06VA;Valladolid (SCD Pajarillos Altos - Las Flores) y Renedo de Esgueva;95
43VA;Valladolid (SCD Parquesol - Arturo Eyries);07CA;San Vicente de la Barquera y Val de San Vicente;28
43VA;Valladolid (SCD Parquesol - Arturo Eyries);09VA;Quintanilla de Onésimo y otros municipios;32
43VA;Valladolid (SCD Parquesol - Arturo Eyries);15VA;Medina de Rioseco y otros municipios;30
43VA;Valladolid (SCD Parquesol - Arturo Eyries);16PA;Villamuriel de Cerrato;33
43VA;Valladolid (SCD Parquesol - Arturo Eyries);18VA;Geria y otros municipios;28
43VA;Valladolid (SCD Parquesol - Arturo Eyries);19VA;Arroyo de la Encomienda;603
43VA;Valladolid (SCD Parquesol - Arturo Eyries);21VA;Cistérniga;58
43VA;Valladolid (SCD Parquesol - Arturo Eyries);23VA;Laguna de Duero;77
43VA;Valladolid (SCD Parquesol - Arturo Eyries);29VA;Zaratán;161
43VA;Valladolid (SCD Parquesol - Arturo Eyries);30VA;Valladolid (SCD Centro - Universidad);394
43VA;Valladolid (SCD Parquesol - Arturo Eyries);31VA;Valladolid (SCD Paseo Zorrilla Bajo - Campo Grande);198
43VA;Valladolid (SCD Parquesol - Arturo Eyries);32VA;Valladolid (SCD Caño Argales);53
43VA;Valladolid (SCD Parquesol - Arturo Eyries);33VA;Valladolid (SCD Las Delicias);149
43VA;Valladolid (SCD Parquesol - Arturo Eyries);34VA;Valladolid (SCD Caamaño - Las Viudas);476
43VA;Valladolid (SCD Parquesol - Arturo Eyries);35VA;Valladolid (SCD Plaza Circular - Vadillos);35
43VA;Valladolid (SCD Parquesol - Arturo Eyries);36VA;Valladolid (SCD Pajarillos Bajos);37
43VA;Valladolid (SCD Parquesol - Arturo Eyries);37VA;Valladolid (SCD San Juan - Batallas - Pilarica);58
43VA;Valladolid (SCD Parquesol - Arturo Eyries);38VA;Valladolid (SCD Hospital - Barrio España - San Pedro Regalado);173
43VA;Valladolid (SCD Parquesol - Arturo Eyries);39VA;Valladolid (SCD Rondilla);117
43VA;Valladolid (SCD Parquesol - Arturo Eyries);40VA;Valladolid (SCD San Nicolás - San Miguel);62
43VA;Valladolid (SCD Parquesol - Arturo Eyries);41VA;Valladolid (SCD Canal de Castilla - La Overuela);283
43VA;Valladolid (SCD Parquesol - Arturo Eyries);42VA;Valladolid (SCD Huerta del Rey);522
43VA;Valladolid (SCD Parquesol - Arturo Eyries);43VA;Valladolid (SCD Parquesol - Arturo Eyries);17.828
43VA;Valladolid (SCD Parquesol - Arturo Eyries);44VA;Valladolid (SCD Paseo Zorrilla Alto - Cuatro de Marzo);607
43VA;Valladolid (SCD Parquesol - Arturo Eyries);45VA;Valladolid (SCD La Rubia - Covaresa - Puente Duero);1.075
43VA;Valladolid (SCD Parquesol - Arturo Eyries);OTRO;OTROS DESTINOS;1.430
43ZA;Villanueva de Gállego;25ZA;Zaragoza (SCD Number 12) y otros municipios;27
43ZA;Villanueva de Gállego;43ZA;Villanueva de Gállego;3.027
43ZA;Villanueva de Gállego;44ZA;Zuera;90
43ZA;Villanueva de Gállego;45ZA;Zaragoza (SCD Number 1-A);22
43ZA;Villanueva de Gállego;75ZA;Zaragoza (SCD Number 11);138
43ZA;Villanueva de Gállego;OTRO;OTROS DESTINOS;477
44AL;Ejido, El (sección 012 y otras secciones del distrito 01);02AL;Dalías y Balanegra;95
44AL;Ejido, El (sección 012 y otras secciones del distrito 01);18AL;Adra;25
44AL;Ejido, El (sección 012 y otras secciones del distrito 01);20AL;Berja;43
44AL;Ejido, El (sección 012 y otras secciones del distrito 01);27AL;Níjar;47
44AL;Ejido, El (sección 012 y otras secciones del distrito 01);33AL;Vícar;159
44AL;Ejido, El (sección 012 y otras secciones del distrito 01);34AL;Mojonera, La;231
44AL;Ejido, El (sección 012 y otras secciones del distrito 01);38AL;Almería (distrito 06);63
44AL;Ejido, El (sección 012 y otras secciones del distrito 01);40AL;Almería (distrito 08);58
44AL;Ejido, El (sección 012 y otras secciones del distrito 01);41AL;Roquetas de Mar (distrito 01);84
44AL;Ejido, El (sección 012 y otras secciones del distrito 01);42AL;Roquetas de Mar (distrito 02);164
44AL;Ejido, El (sección 012 y otras secciones del distrito 01);43AL;Ejido, El (sección 006 y otras secciones del distrito 01);585
44AL;Ejido, El (sección 012 y otras secciones del distrito 01);44AL;Ejido, El (sección 012 y otras secciones del distrito 01);16.625
44AL;Ejido, El (sección 012 y otras secciones del distrito 01);45AL;Ejido, El (sección 018 y otras secciones del distrito 01);800
44AL;Ejido, El (sección 012 y otras secciones del distrito 01);46AL;Almería (sección 041 y otras secciones del distrito 07);29
44AL;Ejido, El (sección 012 y otras secciones del distrito 01);47AL;Almería (sección 018 y otras secciones del distrito 07);23
44AL;Ejido, El (sección 012 y otras secciones del distrito 01);OTRO;OTROS DESTINOS;557
44AS;Oviedo (distrito 04);06AS;Soto del Barco y Muros de Nalón;28
44AS;Oviedo (distrito 04);08AS;Corvera de Asturias e Illas;35
44AS;Oviedo (distrito 04);09AS;Grado y Regueras, Las;31
44AS;Oviedo (distrito 04);10AS;Morcín y otros municipios;64
44AS;Oviedo (distrito 04);11AS;Teverga y otros municipios;72
44AS;Oviedo (distrito 04);13AS;Nava y otros municipios;31
44AS;Oviedo (distrito 04);14AS;Colunga y Caravia;110
44AS;Oviedo (distrito 04);17AS;Aller;27
44AS;Oviedo (distrito 04);19AS;Cangas de Onís;27
44AS;Oviedo (distrito 04);20AS;Carreño;123
44AS;Oviedo (distrito 04);21AS;Castrillón;130
44AS;Oviedo (distrito 04);22AS;Cudillero;47
44AS;Oviedo (distrito 04);23AS;Gozón;180
44AS;Oviedo (distrito 04);24AS;Langreo;55
44AS;Oviedo (distrito 04);28AS;Llanera;247
44AS;Oviedo (distrito 04);29AS;Llanes;83
44AS;Oviedo (distrito 04);30AS;Mieres;61
44AS;Oviedo (distrito 04);32AS;Noreña;36
44AS;Oviedo (distrito 04);35AS;Ribadesella;28
44AS;Oviedo (distrito 04);39AS;Villaviciosa;154
44AS;Oviedo (distrito 04);41AS;Oviedo (distrito 01);245
44AS;Oviedo (distrito 04);42AS;Oviedo (distrito 02);92
44AS;Oviedo (distrito 04);43AS;Oviedo (distrito 03);305
44AS;Oviedo (distrito 04);44AS;Oviedo (distrito 04);9.641
44AS;Oviedo (distrito 04);45AS;Oviedo (distrito 05);572
44AS;Oviedo (distrito 04);46AS;Oviedo (distrito 06);458
44AS;Oviedo (distrito 04);47AS;Oviedo (distrito 07);337
44AS;Oviedo (distrito 04);48AS;Oviedo (distrito 08);186
44AS;Oviedo (distrito 04);49AS;Oviedo (distrito 09);59
44AS;Oviedo (distrito 04);50AS;Oviedo (distrito 10);94
44AS;Oviedo (distrito 04);51AS;Oviedo (distrito 11);156
44AS;Oviedo (distrito 04);52AS;Oviedo (distrito 12);220
44AS;Oviedo (distrito 04);53AS;Oviedo (distritos 13 y 14);97
44AS;Oviedo (distrito 04);55AS;Oviedo (distrito 15);51
44AS;Oviedo (distrito 04);56AS;Oviedo (distrito 16);54
44AS;Oviedo (distrito 04);57AS;Siero;804
44AS;Oviedo (distrito 04);61AS;Gijón (SCD El Centro-Cimavilla);29
44AS;Oviedo (distrito 04);66AS;Gijón (SCD Jove-Veriña-Tremañes);27
44AS;Oviedo (distrito 04);68AS;Gijón (SCD La Calzada);27
44AS;Oviedo (distrito 04);71AS;Gijón (SCD Rural);145
44AS;Oviedo (distrito 04);72AS;Avilés (sección 036 y otras secciones del distrito 01);41
44AS;Oviedo (distrito 04);OTRO;OTROS DESTINOS;676
44BA;Mérida (distrito 03) y otros municipios;02BA;Badajoz (distrito 08) y otros municipios;61
44BA;Mérida (distrito 03) y otros municipios;04BA;Montijo y Torremayor;29
44BA;Mérida (distrito 03) y otros municipios;07BA;Arroyo de San Serván y Torremejía;48
44BA;Mérida (distrito 03) y otros municipios;08BA;Zarza, La y otros municipios;145
44BA;Mérida (distrito 03) y otros municipios;16BA;Santa Marta y otros municipios;121
44BA;Mérida (distrito 03) y otros municipios;28BA;Oliva de Mérida y otros municipios;25
44BA;Mérida (distrito 03) y otros municipios;33BA;Don Benito y otros municipios;84
44BA;Mérida (distrito 03) y otros municipios;35CC;Cáceres (distrito 01);30
44BA;Mérida (distrito 03) y otros municipios;41BA;Guareña y San Pedro de Mérida;56
44BA;Mérida (distrito 03) y otros municipios;42BA;Mérida (distritos 02 y 05);233
44BA;Mérida (distrito 03) y otros municipios;43BA;Mérida (distrito 04) y otros municipios;1.318
44BA;Mérida (distrito 03) y otros municipios;44BA;Mérida (distrito 03) y otros municipios;11.893
44BA;Mérida (distrito 03) y otros municipios;46BA;Almendralejo;308
44BA;Mérida (distrito 03) y otros municipios;47BA;Calamonte;32
44BA;Mérida (distrito 03) y otros municipios;52BA;Villafranca de los Barros;22
44BA;Mérida (distrito 03) y otros municipios;61BA;Badajoz (distrito 07);64
44BA;Mérida (distrito 03) y otros municipios;64BA;Mérida (distrito 01);278
44BA;Mérida (distrito 03) y otros municipios;65BA;Mérida (distrito 06);967
44BA;Mérida (distrito 03) y otros municipios;OTRO;OTROS DESTINOS;1.062
44BI;Santurtzi;03BI;Güeñes y otros municipios;31
44BI;Santurtzi;04BI;Muskiz y Zierbena;793
44BI;Santurtzi;09BI;Sondika y Loiu;82
44BI;Santurtzi;10BI;Urduliz y otros municipios;31
44BI;Santurtzi;12BI;Bakio y otros municipios;32
44BI;Santurtzi;13BI;Zamudio y otros municipios;149
44BI;Santurtzi;15CA;Castro-Urdiales y Guriezo;452
44BI;Santurtzi;17CA;Noja y otros municipios;149
44BI;Santurtzi;20BI;Mundaka y otros municipios;31
44BI;Santurtzi;23BI;Abanto y Ciérvana-Abanto Zierbena;308
44BI;Santurtzi;24BI;Amorebieta-Etxano;31
44BI;Santurtzi;26BI;Basauri;149
44BI;Santurtzi;27BI;Berango;34
44BI;Santurtzi;29CA;Laredo;106
44BI;Santurtzi;30BI;Etxebarri;21
44BI;Santurtzi;33BI;Galdakao;100
44BI;Santurtzi;34BI;Gorliz;49
44BI;Santurtzi;37BI;Leioa;285
44BI;Santurtzi;39BI;Mungia;25
44BI;Santurtzi;40CA;Santoña;26
44BI;Santurtzi;42BI;Portugalete;786
44BI;Santurtzi;43BI;Valle de Trápaga-Trapagaran;302
44BI;Santurtzi;44BI;Santurtzi;28.572
44BI;Santurtzi;45BI;Ortuella;174
44BI;Santurtzi;46BI;Sestao;275
44BI;Santurtzi;47BI;Sopela;78
44BI;Santurtzi;50BI;Derio;31
44BI;Santurtzi;51BI;Erandio;306
44BI;Santurtzi;52BI;Barakaldo (distrito 01);35
44BI;Santurtzi;53BI;Barakaldo (distrito 02);49
44BI;Santurtzi;56BI;Barakaldo (distrito 05);105
44BI;Santurtzi;57BI;Barakaldo (distrito 06);51
44BI;Santurtzi;58BI;Barakaldo (distrito 07);97
44BI;Santurtzi;60BI;Barakaldo (distrito 09);182
44BI;Santurtzi;61BI;Bilbao (SCD Deustu 1);69
44BI;Santurtzi;62BI;Bilbao (SCD Deustu 2);110
44BI;Santurtzi;63BI;Bilbao (SCD Uribarri 1);55
44BI;Santurtzi;65BI;Bilbao (SCD Otxarkoaga-Txurdinaga);55
44BI;Santurtzi;66BI;Bilbao (SCD Begoña 1);49
44BI;Santurtzi;67BI;Bilbao (SCD Ibaiondo 1);76
44BI;Santurtzi;68BI;Bilbao (SCD Ibaiondo 2);67
44BI;Santurtzi;69BI;Bilbao (SCD Abando 1);361
44BI;Santurtzi;70BI;Bilbao (SCD Abando 2);193
44BI;Santurtzi;71BI;Bilbao (SCD Errekalde 1);28
44BI;Santurtzi;72BI;Bilbao (SCD Errekalde 2);38
44BI;Santurtzi;73BI;Bilbao (SCD Basartu-Zorrotza);204
44BI;Santurtzi;74BI;Getxo (distrito 01);229
44BI;Santurtzi;75BI;Getxo (distrito 02);419
44BI;Santurtzi;76BI;Getxo (distrito 03);450
44BI;Santurtzi;OTRO;OTROS DESTINOS;1.762
44CA;Santander (distrito 02);02CA;Villaescusa y otros municipios;57
44CA;Santander (distrito 02);03CA;Ribamontán al Mar y otros municipios;302
44CA;Santander (distrito 02);04CA;Puente Viesgo y San Felices de Buelna;16
44CA;Santander (distrito 02);05CA;Potes y otros municipios;54
44CA;Santander (distrito 02);06CA;Valdáliga y otros municipios;55
44CA;Santander (distrito 02);07CA;San Vicente de la Barquera y Val de San Vicente;28
44CA;Santander (distrito 02);08CA;Alfoz de Lloredo y otros municipios;35
44CA;Santander (distrito 02);09CA;Mazcuerras y otros municipios;16
44CA;Santander (distrito 02);10CA;Campoo de Enmedio y Hermandad de Campoo de Suso;16
44CA;Santander (distrito 02);11CA;Valderredible y otros municipios;16
44CA;Santander (distrito 02);12CA;Corvera de Toranzo y otros municipios;28
44CA;Santander (distrito 02);14CA;Selaya y otros municipios;16
44CA;Santander (distrito 02);15CA;Castro-Urdiales y Guriezo;16
44CA;Santander (distrito 02);16AS;Cabrales y otros municipios;16
44CA;Santander (distrito 02);16CA;Liérganes y otros municipios;28
44CA;Santander (distrito 02);17CA;Noja y otros municipios;55
44CA;Santander (distrito 02);18CA;Meruelo y otros municipios;16
44CA;Santander (distrito 02);19CA;Bárcena de Cicero y Escalante;16
44CA;Santander (distrito 02);20CA;Voto y otros municipios;16
44CA;Santander (distrito 02);22CA;Astillero, El;114
44CA;Santander (distrito 02);23CA;Cabezón de la Sal;16
44CA;Santander (distrito 02);24CA;Camargo;355
44CA;Santander (distrito 02);25CA;Cartes;24
44CA;Santander (distrito 02);27CA;Corrales de Buelna, Los;37
44CA;Santander (distrito 02);28CA;Entrambasaguas;31
44CA;Santander (distrito 02);29AS;Llanes;16
44CA;Santander (distrito 02);29CA;Laredo;36
44CA;Santander (distrito 02);30CA;Marina de Cudeyo;175
44CA;Santander (distrito 02);31CA;Medio Cudeyo;16
44CA;Santander (distrito 02);32CA;Miengo;85
44CA;Santander (distrito 02);33CA;Piélagos;218
44CA;Santander (distrito 02);34CA;Polanco;16
44CA;Santander (distrito 02);35CA;Reinosa;16
44CA;Santander (distrito 02);36CA;Reocín;30
44CA;Santander (distrito 02);37CA;Santa Cruz de Bezana;257
44CA;Santander (distrito 02);38CA;Santa María de Cayón;16
44CA;Santander (distrito 02);39AS;Villaviciosa;16
44CA;Santander (distrito 02);39CA;Santillana del Mar;31
44CA;Santander (distrito 02);40CA;Santoña;28
44CA;Santander (distrito 02);41CA;Suances;43
44CA;Santander (distrito 02);43CA;Santander (distrito 01);638
44CA;Santander (distrito 02);44CA;Santander (distrito 02);14.476
44CA;Santander (distrito 02);45CA;Santander (distrito 03);162
44CA;Santander (distrito 02);46CA;Santander (distrito 04);958
44CA;Santander (distrito 02);47CA;Santander (distrito 05);423
44CA;Santander (distrito 02);48CA;Santander (distrito 06);1.093
44CA;Santander (distrito 02);49CA;Santander (distrito 07);489
44CA;Santander (distrito 02);50CA;Santander (distrito 08);1.593
44CA;Santander (distrito 02);52CA;Torrelavega (distrito 03);16
44CA;Santander (distrito 02);53CA;Torrelavega (distrito 04);28
44CA;Santander (distrito 02);OTRO;OTROS DESTINOS;538
44CC;Miajadas;08CC;Almoharín y otros municipios;191
44CC;Miajadas;11CC;Logrosán y otros municipios;61
44CC;Miajadas;33BA;Don Benito y otros municipios;441
44CC;Miajadas;44CC;Miajadas;6.725
44CC;Miajadas;53BA;Villanueva de la Serena;45
44CC;Miajadas;OTRO;OTROS DESTINOS;475
44CO;Córdoba (sección 020 del distrito 10 y otras secciones del distrito 06);02CO;Córdoba (varias secciones) y Victoria, La;165
44CO;Córdoba (sección 020 del distrito 10 y otras secciones del distrito 06);28CO;Córdoba (SCD Casco Histórico);50
44CO;Córdoba (sección 020 del distrito 10 y otras secciones del distrito 06);29CO;Córdoba (SCD Tejares - Molinos Altas - San Cayetano);35
44CO;Córdoba (sección 020 del distrito 10 y otras secciones del distrito 06);37CO;Córdoba (SCD Sector Sur);38
44CO;Córdoba (sección 020 del distrito 10 y otras secciones del distrito 06);39CO;Córdoba (SCD Vista Alegre - Vallellano - Parque Cruz Conde/Corregidor y sección 037 del distrito 10);93
44CO;Córdoba (sección 020 del distrito 10 y otras secciones del distrito 06);41CO;Córdoba (SCD Huerta de la Marquesa);36
44CO;Córdoba (sección 020 del distrito 10 y otras secciones del distrito 06);42CO;Córdoba (SCD Cercadilla - Olivos Borrachos);36
44CO;Córdoba (sección 020 del distrito 10 y otras secciones del distrito 06);43CO;Córdoba (SCD Miralbaida - Electromecánicas);72
44CO;Córdoba (sección 020 del distrito 10 y otras secciones del distrito 06);44CO;Córdoba (sección 020 del distrito 10 y otras secciones del distrito 06);1.573
44CO;Córdoba (sección 020 del distrito 10 y otras secciones del distrito 06);46CO;Córdoba (SCD Santa Isabel);33
44CO;Córdoba (sección 020 del distrito 10 y otras secciones del distrito 06);52CO;Córdoba (SCD Brillante - Barrio del Naranjo);83
44CO;Córdoba (sección 020 del distrito 10 y otras secciones del distrito 06);53CO;Córdoba (SCD El Higuerón - Majaneque-Alameda del Obispo);105
44CO;Córdoba (sección 020 del distrito 10 y otras secciones del distrito 06);54CO;Córdoba (SCD Villarrubia -Encinarejo de Córdoba);28
44CO;Córdoba (sección 020 del distrito 10 y otras secciones del distrito 06);OTRO;OTROS DESTINOS;480
44CZ;Puerto Serrano;014S;Morón de la Frontera y Coripe;44
44CZ;Puerto Serrano;016S;Utrera (distrito 05) y otros municipios;161
44CZ;Puerto Serrano;043S;Coronil, El;43
44CZ;Puerto Serrano;061S;Montellano;50
44CZ;Puerto Serrano;27CZ;Jerez de la Frontera (distrito 09);38
44CZ;Puerto Serrano;39CZ;Villamartín;123
44CZ;Puerto Serrano;44CZ;Puerto Serrano;4.856
44CZ;Puerto Serrano;OTRO;OTROS DESTINOS;422
44CÑ;Coruña, A (distrito 10);25CÑ;Arteixo;229
44CÑ;Coruña, A (distrito 10);31CÑ;Cambre;38
44CÑ;Coruña, A (distrito 10);35CÑ;Coruña, A (distrito 01);95
44CÑ;Coruña, A (distrito 10);36CÑ;Coruña, A (distrito 02);72
44CÑ;Coruña, A (distrito 10);37CÑ;Coruña, A (distrito 03);122
44CÑ;Coruña, A (distrito 10);38CÑ;Coruña, A (distrito 04);242
44CÑ;Coruña, A (distrito 10);39CÑ;Coruña, A (distrito 05);211
44CÑ;Coruña, A (distrito 10);40CÑ;Coruña, A (distrito 06);255
44CÑ;Coruña, A (distrito 10);41CÑ;Coruña, A (distrito 07);346
44CÑ;Coruña, A (distrito 10);42CÑ;Coruña, A (distrito 08);70
44CÑ;Coruña, A (distrito 10);43CÑ;Coruña, A (distrito 09);83
44CÑ;Coruña, A (distrito 10);44CÑ;Coruña, A (distrito 10);4.921
44CÑ;Coruña, A (distrito 10);45CÑ;Culleredo;87
44CÑ;Coruña, A (distrito 10);62CÑ;Oleiros;119
44CÑ;Coruña, A (distrito 10);OTRO;OTROS DESTINOS;413
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);01GC;Valleseco y otros municipios;16
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);02GC;Santa Lucía de Tirajana (distritos 01 y 02) y San Bartolomé de Tirajana (distrito 01);16
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);04GC;Agaete;16
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);05GC;Agüimes;16
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);06GC;Arucas;33
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);10GC;Ingenio;16
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);11GC;Mogán;16
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);14GC;Pájara;16
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);18GC;Santa Brígida;37
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);21GC;Teror;16
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);26GC;Vega de San Mateo;16
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);31GC;San Bartolomé de Tirajana (distrito 03);72
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);33GC;Santa Lucía de Tirajana (distrito 03);24
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);34GC;Telde (distritos 01 y 05);38
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);35GC;Telde (distrito 02);16
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);36GC;Telde (distrito 03);25
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);38GC;Palmas de Gran Canaria, Las (SCD Number 5-D);28
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);39GC;Telde (distrito 06);54
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);40GC;Palmas de Gran Canaria, Las (SCD Number 1-A);339
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);41GC;Palmas de Gran Canaria, Las (SCD Number 1-B);173
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);42GC;Palmas de Gran Canaria, Las (SCD Number 1-C);84
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);43GC;Palmas de Gran Canaria, Las (SCD Number 1-D);125
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);8.645
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);45GC;Palmas de Gran Canaria, Las (SCD No. 2-B y sección 065 del distrito 02);29
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);46GC;Palmas de Gran Canaria, Las (SCD Number 2-C);29
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);47GC;Palmas de Gran Canaria, Las (SCD Number 2-D);317
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);48GC;Palmas de Gran Canaria, Las (SCD Number 2-E);124
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);49GC;Palmas de Gran Canaria, Las (SCD No. 3-A y sección 046 del distrito 03);129
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);50GC;Palmas de Gran Canaria, Las (SCD Number 3-B);47
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);51GC;Palmas de Gran Canaria, Las (SCD Number 3-C);91
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);52GC;Palmas de Gran Canaria, Las (SCD Number 4-A);67
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);53GC;Palmas de Gran Canaria, Las (SCD Number 4-B);67
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);54GC;Palmas de Gran Canaria, Las (SCD No 4-C y sección 084 del distrito 04);64
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);55GC;Palmas de Gran Canaria, Las (SCD Number 4-D);24
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);56GC;Palmas de Gran Canaria, Las (SCD Number 4-E);41
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);57GC;Palmas de Gran Canaria, Las (SCD Number 5-A);24
44GC;Palmas de Gran Canaria, Las (SCD Number 2-A);OTRO;OTROS DESTINOS;174
44GI;Castelló d'Empúries;19GI;Begur y otros municipios;81
44GI;Castelló d'Empúries;20GI;Verges y otros municipios;24
44GI;Castelló d'Empúries;26GI;Sant Pere Pescador y otros municipios;187
44GI;Castelló d'Empúries;27GI;Bàscara y otros municipios;17
44GI;Castelló d'Empúries;28GI;Peralada y otros municipios;92
44GI;Castelló d'Empúries;29GI;Cadaqués y otros municipios;259
44GI;Castelló d'Empúries;30GI;Llançà y otros municipios;99
44GI;Castelló d'Empúries;31GI;Vilajuïga y otros municipios;77
44GI;Castelló d'Empúries;32GI;Jonquera, La y otros municipios;50
44GI;Castelló d'Empúries;33GI;Avinyonet de Puigventós y otros municipios;26
44GI;Castelló d'Empúries;34GI;Navata y otros municipios;39
44GI;Castelló d'Empúries;44GI;Castelló d'Empúries;6.279
44GI;Castelló d'Empúries;46GI;Escala, L';127
44GI;Castelló d'Empúries;47GI;Figueres;223
44GI;Castelló d'Empúries;57GI;Roses;621
44GI;Castelló d'Empúries;63GI;Torroella de Montgrí;29
44GI;Castelló d'Empúries;OTRO;OTROS DESTINOS;327
44GP;Irun (distrito 01);16NA;Bera y otros municipios;16
44GP;Irun (distrito 01);23GP;Hondarribia;377
44GP;Irun (distrito 01);27GP;Lezo;16
44GP;Irun (distrito 01);31GP;Oiartzun;73
44GP;Irun (distrito 01);33GP;Errenteria;16
44GP;Irun (distrito 01);44GP;Irun (distrito 01);3.281
44GP;Irun (distrito 01);45GP;Irun (distrito 02);957
44GP;Irun (distrito 01);46GP;Irun (distrito 03);477
44GP;Irun (distrito 01);47GP;Irun (distrito 04);248
44GP;Irun (distrito 01);48GP;Donostia/San Sebastián (distrito 01);16
44GP;Irun (distrito 01);50GP;Donostia/San Sebastián (distrito 03);45
44GP;Irun (distrito 01);51GP;Donostia/San Sebastián (distrito 04);16
44GP;Irun (distrito 01);53GP;Donostia/San Sebastián (distrito 06);64
44GP;Irun (distrito 01);54GP;Donostia/San Sebastián (distrito 07);40
44GP;Irun (distrito 01);OTRO;OTROS DESTINOS;361
44GR;Chauchina;01GR;Fuente Vaqueros y otros municipios;179
44GR;Chauchina;08GR;Deifontes y otros municipios;16
44GR;Chauchina;35GR;Albolote;31
44GR;Chauchina;39GR;Atarfe;34
44GR;Chauchina;43GR;Cúllar Vega;21
44GR;Chauchina;44GR;Chauchina;3.322
